CMDLINE E:\Software\Anaconda\envs\MyEnvNN_torch_MRI\python.exe MemoryTest.py
MEM 5582.609375 1584630179.7917
MEM 5589.039062 1584630179.9011
MEM 5605.398438 1584630180.0131
MEM 5800.710938 1584630180.1224
MEM 6032.949219 1584630180.2329
MEM 6287.656250 1584630180.3546
MEM 6518.933594 1584630180.4639
MEM 6738.382812 1584630180.5684
MEM 6969.859375 1584630180.6778
MEM 7198.804688 1584630180.7882
MEM 7426.707031 1584630180.8976
MEM 7658.554688 1584630181.0069
MEM 6448.785156 1584630181.1163
MEM 5579.070312 1584630181.2256
MEM 5585.191406 1584630181.3350
MEM 5922.933594 1584630181.4454
MEM 6116.386719 1584630181.5549
MEM 6116.386719 1584630181.6652
MEM 6116.386719 1584630181.7746
MEM 6115.906250 1584630181.8839
MEM 6109.957031 1584630181.9933
MEM 6109.957031 1584630182.1026
MEM 6109.957031 1584630182.2120
MEM 6109.957031 1584630182.3213
MEM 6108.945312 1584630182.4307
MEM 6107.175781 1584630182.5400
MEM 6106.593750 1584630182.6494
MEM 6109.957031 1584630182.7715
MEM 6103.800781 1584630182.8808
MEM 6102.921875 1584630182.9902
MEM 6102.921875 1584630183.1006
MEM 6102.921875 1584630183.2099
MEM 6109.957031 1584630183.3193
MEM 6109.957031 1584630183.4286
MEM 6116.386719 1584630183.5380
MEM 6116.386719 1584630183.6473
MEM 6116.386719 1584630183.7567
MEM 6116.386719 1584630183.8660
MEM 6109.957031 1584630183.9754
MEM 6108.253906 1584630184.0849
MEM 6102.921875 1584630184.1953
MEM 6102.921875 1584630184.3057
MEM 6109.957031 1584630184.4164
MEM 6109.957031 1584630184.5257
MEM 6116.386719 1584630184.6351
MEM 6109.957031 1584630184.7445
MEM 6109.957031 1584630184.8549
MEM 6111.593750 1584630184.9642
MEM 6108.394531 1584630185.0736
MEM 6106.261719 1584630185.1829
MEM 6104.835938 1584630185.2923
MEM 6102.921875 1584630185.4016
MEM 6102.921875 1584630185.5110
MEM 6102.921875 1584630185.6203
MEM 6102.921875 1584630185.7297
MEM 6102.921875 1584630185.8390
MEM 6102.921875 1584630185.9484
MEM 6102.921875 1584630186.0577
MEM 6102.921875 1584630186.1671
MEM 6102.921875 1584630186.2764
MEM 6109.957031 1584630186.3906
MEM 6109.957031 1584630186.4999
MEM 6109.957031 1584630186.6104
MEM 6109.957031 1584630186.7197
MEM 6109.957031 1584630186.8305
MEM 6109.957031 1584630186.9399
MEM 6116.386719 1584630187.0503
MEM 6116.386719 1584630187.1596
MEM 6116.386719 1584630187.2690
MEM 6116.386719 1584630187.3783
MEM 6116.386719 1584630187.4877
MEM 6109.960938 1584630187.5970
MEM 6109.957031 1584630187.7064
MEM 6109.957031 1584630187.8157
MEM 6109.957031 1584630187.9251
MEM 6109.957031 1584630188.0344
MEM 6109.957031 1584630188.1438
MEM 6116.531250 1584630188.2531
MEM 6107.746094 1584630188.3625
MEM 6105.105469 1584630188.4718
MEM 6102.921875 1584630188.5812
MEM 6102.925781 1584630188.6905
MEM 6102.925781 1584630188.7999
MEM 6102.925781 1584630188.9092
MEM 6102.925781 1584630189.0186
MEM 6102.925781 1584630189.1279
MEM 6107.039062 1584630189.2373
MEM 6109.964844 1584630189.3466
MEM 6109.964844 1584630189.4560
MEM 6109.964844 1584630189.5669
MEM 6109.964844 1584630189.6763
MEM 6116.394531 1584630189.7867
MEM 6116.394531 1584630189.8960
MEM 6116.394531 1584630190.0054
MEM 6161.828125 1584630190.1297
MEM 6395.210938 1584630190.2390
MEM 6626.597656 1584630190.3484
MEM 6860.652344 1584630190.4577
MEM 7094.468750 1584630190.5671
MEM 7328.125000 1584630190.6764
MEM 7548.281250 1584630190.7858
MEM 7779.980469 1584630190.8951
MEM 7996.886719 1584630191.0045
MEM 8152.019531 1584630191.1138
MEM 6768.234375 1584630191.2232
MEM 6165.472656 1584630191.3325
MEM 6314.332031 1584630191.4419
MEM 6464.328125 1584630191.5512
MEM 6614.238281 1584630191.6606
MEM 6630.277344 1584630191.7699
MEM 6748.339844 1584630191.8793
MEM 6939.769531 1584630191.9886
MEM 7131.300781 1584630192.0980
MEM 7344.550781 1584630192.2073
MEM 7566.343750 1584630192.3167
MEM 7790.105469 1584630192.4260
MEM 8013.062500 1584630192.5354
MEM 8236.816406 1584630192.6447
MEM 8463.546875 1584630192.7541
MEM 8676.128906 1584630192.8634
MEM 8898.359375 1584630192.9728
MEM 9117.101562 1584630193.0821
MEM 8808.230469 1584630193.1915
MEM 7391.093750 1584630193.3008
MEM 6102.929688 1584630193.4102
MEM 6214.210938 1584630193.5195
MEM 6366.679688 1584630193.6289
MEM 6517.957031 1584630193.7382
MEM 6685.000000 1584630193.8476
MEM 6916.183594 1584630193.9569
MEM 7148.832031 1584630194.0663
MEM 7157.625000 1584630194.1756
MEM 7157.625000 1584630194.2850
MEM 7157.625000 1584630194.3943
MEM 7157.625000 1584630194.5037
MEM 7157.625000 1584630194.6143
MEM 7157.625000 1584630194.7236
MEM 7157.625000 1584630194.8340
MEM 7157.625000 1584630194.9434
MEM 7157.625000 1584630195.0539
MEM 7157.625000 1584630195.1632
MEM 7157.625000 1584630195.2737
MEM 7157.625000 1584630195.3830
MEM 7157.625000 1584630195.4924
MEM 7157.625000 1584630195.6017
MEM 7157.625000 1584630195.7111
MEM 7157.625000 1584630195.8204
MEM 7157.625000 1584630195.9298
MEM 7157.625000 1584630196.0391
MEM 7157.625000 1584630196.1485
MEM 7157.625000 1584630196.2578
MEM 7157.625000 1584630196.3672
MEM 7157.625000 1584630196.4765
MEM 7157.625000 1584630196.5859
MEM 7225.199219 1584630196.6952
MEM 7357.441406 1584630196.8046
MEM 7539.898438 1584630196.9139
MEM 7421.300781 1584630197.0233
MEM 6920.453125 1584630197.1326
MEM 6802.894531 1584630197.2420
MEM 7032.050781 1584630197.3513
MEM 7228.167969 1584630197.4607
MEM 7382.859375 1584630197.5700
MEM 7421.300781 1584630197.6794
MEM 7421.300781 1584630197.7887
MEM 7230.843750 1584630197.8981
MEM 7386.042969 1584630198.0074
MEM 7421.300781 1584630198.1168
MEM 7271.128906 1584630198.2261
MEM 7421.300781 1584630198.3355
MEM 7192.597656 1584630198.4448
MEM 7307.707031 1584630198.5542
MEM 7421.300781 1584630198.6635
MEM 7187.378906 1584630198.7729
MEM 7342.203125 1584630198.8822
MEM 7421.300781 1584630198.9916
MEM 7224.601562 1584630199.1009
MEM 7379.996094 1584630199.2103
MEM 7421.300781 1584630199.3196
MEM 6242.500000 1584630199.4290
MEM 4640.500000 1584630199.5383
MEM 3717.914062 1584630199.6491
MEM 3039.023438 1584630199.7584
MEM 2811.941406 1584630199.8689
MEM 2810.625000 1584630199.9782
MEM 2817.101562 1584630200.0876
MEM 2819.484375 1584630200.1969
MEM 2821.527344 1584630200.3063
MEM 2829.718750 1584630200.4156
MEM 2831.835938 1584630200.5250
MEM 2833.761719 1584630200.6343
MEM 2843.363281 1584630200.7437
MEM 2844.472656 1584630200.8530
MEM 2852.273438 1584630200.9624
MEM 2981.734375 1584630201.0717
MEM 3230.437500 1584630201.1811
MEM 3374.707031 1584630201.2904
MEM 3377.906250 1584630201.3998
MEM 3384.390625 1584630201.5091
MEM 3382.843750 1584630201.6185
MEM 3389.199219 1584630201.7278
MEM 3395.175781 1584630201.8372
MEM 3393.808594 1584630201.9465
MEM 3400.140625 1584630202.0559
MEM 3406.617188 1584630202.1652
MEM 3404.835938 1584630202.2746
MEM 3444.917969 1584630202.3839
MEM 2880.097656 1584630202.4933
MEM 2924.941406 1584630202.6026
MEM 2953.535156 1584630202.7120
MEM 2922.296875 1584630202.8213
MEM 2916.394531 1584630202.9307
MEM 2909.777344 1584630203.0400
MEM 2917.683594 1584630203.1494
MEM 2912.300781 1584630203.2567
MEM 2861.464844 1584630203.3661
MEM 2862.519531 1584630203.4754
MEM 2863.578125 1584630203.5848
MEM 2864.632812 1584630203.6941
MEM 2865.617188 1584630203.8035
MEM 2866.675781 1584630203.9128
MEM 2867.734375 1584630204.0222
MEM 2868.792969 1584630204.1315
MEM 2869.843750 1584630204.2409
MEM 2870.898438 1584630204.3502
MEM 2871.953125 1584630204.4596
MEM 2873.011719 1584630204.5689
MEM 2874.074219 1584630204.6793
MEM 2875.121094 1584630204.7887
MEM 2876.183594 1584630204.8991
MEM 2877.234375 1584630205.0084
MEM 2878.289062 1584630205.1178
MEM 2879.343750 1584630205.2271
MEM 2880.398438 1584630205.3365
MEM 2881.453125 1584630205.4458
MEM 2882.503906 1584630205.5552
MEM 2883.554688 1584630205.6645
MEM 2884.609375 1584630205.7739
MEM 2885.664062 1584630205.8832
MEM 2886.718750 1584630205.9926
MEM 2887.773438 1584630206.1019
